neighborhood_id,neighborhood,latitude,longitude
109,78702,30.25158,-97.73147
110,78759,30.41633,-97.75228
111,78721,30.26895,-97.68947
112,78702,30.27293,-97.72288
113,78701,30.27247,-97.74796
114,78704,30.24619,-97.74569
115,78704,30.2466,-97.76157
116,78702,30.26448,-97.71715
117,78704,30.23661,-97.7449
118,78704,30.25152,-97.76212
119,78702,30.27871,-97.72332
120,78703,30.29932,-97.77631
121,78704,30.24643,-97.76403
122,78754,30.33345,-97.64937
123,78704,30.24276,-97.75211
124,78746,30.34574,-97.80069
125,78704,30.24821,-97.76343
126,78702,30.25884,-97.73056
127,78703,30.28885,-97.76001
128,78745,30.22187,-97.7747
129,78704,30.24748,-97.74724
130,78704,30.23928,-97.77907
131,78703,30.28097,-97.75393
132,78703,30.3054,-97.76974
133,78723,30.30571,-97.69464
134,78701,30.28184,-97.74276
135,78704,30.25478,-97.76854
136,78751,30.3124,-97.72007
137,78704,30.22971,-97.76695
138,78756,30.31744,-97.74547
139,78741,30.22314,-97.71985
140,78702,30.25313,-97.72534
141,78704,30.25433,-97.77582
142,78704,30.25795,-97.77202
143,78703,30.27371,-97.75301
144,78704,30.25954,-97.76978
145,78702,30.25917,-97.73425
146,78751,30.3065,-97.72278
147,78703,30.30549,-97.77147
148,78723,30.29608,-97.70658
149,78704,30.25858,-97.75181
150,78704,30.2538,-97.74359
151,78702,30.25772,-97.7252
152,78704,30.25909,-97.756
153,78704,30.23899,-97.7522
154,78704,30.241,-97.75371
155,78731,30.33875,-97.76135
156,78704,30.26139,-97.77566
157,78701,30.27241,-97.74894
158,78746,30.29948,-97.79728
159,78756,30.3239,-97.731
160,78704,30.25174,-97.78213
161,78704,30.258,-97.75195
162,78702,30.26778,-97.72849
163,78704,30.253061,-97.745712
164,78733,30.34253,-97.8616
165,78745,30.20976,-97.81729
166,78705,30.29961,-97.73449
167,78701,30.27936,-97.74362
168,78757,30.34024,-97.73739
169,78704,30.2619,-97.76328
170,78722,30.29288,-97.71964
171,78704,30.24852,-97.74502
172,78702,30.27514,-97.71954
173,78704,30.2478,-97.786
174,78704,30.25289,-97.79371
175,78704,30.24546,-97.76627
176,78704,30.24373,-97.75394
177,78757,30.35992,-97.7331
178,78745,30.20451,-97.7971
179,78723,30.30308,-97.67689
180,78704,30.24492,-97.76119
181,78722,30.29991,-97.71398
182,78705,30.28714,-97.75258
183,78702,30.27191,-97.71989
184,78722,30.28273,-97.71702
185,78703,30.27808,-97.75098
186,78704,30.25084,-97.73897
187,78701,30.27508,-97.75095
188,78704,30.25278,-97.77303
189,78757,30.33529,-97.72924
190,78703,30.26869,-97.75165
191,78733,30.34998,-97.85608
192,78704,30.24831,-97.77864
193,78704,30.24747,-97.77826
194,78704,30.24389,-97.76607
195,78704,30.24706,-97.75664
196,78701,30.27089,-97.74113
197,78748,30.15374,-97.80159
198,78748,30.15391,-97.80261
199,78703,30.2803,-97.75612
200,78745,30.21038,-97.76873
201,78704,30.25505,-97.77267
202,78731,30.3513,-97.76011
203,78704,30.23537,-97.75171
204,78704,30.24313,-97.74225
205,78704,30.25689,-97.74658
206,78731,30.31268,-97.75381
207,78745,30.19411,-97.78186
208,78759,30.37102,-97.74446
209,78705,30.2991,-97.74167
210,78704,30.2307,-97.76556
211,78704,30.23573,-97.76233
212,78741,30.24618,-97.72823
