id,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
i3073,Private room,55,30,58,3/12/2020,0.8,2,310,0,
i3074,Entire home/apt,275,3,142,3/19/2023,1.98,3,335,8,
i3075,Entire home/apt,246,30,26,7/25/2021,0.39,3,88,0,
i3076,Entire home/apt,230,2,64,4/15/2023,0.96,3,100,14,
i3077,Entire home/apt,112,1,3,10/15/2017,0.04,2,0,0,
i3078,Entire home/apt,864,3,53,8/6/2023,0.73,3,330,16,
i3079,Private room,148,3,70,3/19/2023,0.97,2,0,1,
i3080,Entire home/apt,250,3,0,,,1,0,0,
i3081,Entire home/apt,67,1,403,8/17/2023,5.57,1,36,48,
i3082,Entire home/apt,113,3,39,8/19/2018,0.55,1,0,0,
i3083,Entire home/apt,290,1,2,10/26/2017,0.03,1,0,0,
i3084,Private room,55,30,86,8/5/2023,1.19,2,16,3,
i3085,Entire home/apt,110,30,20,7/23/2023,0.31,4,277,2,
i3086,Entire home/apt,70,60,3,2/10/2021,0.04,1,0,0,
i3087,Entire home/apt,100,1,15,12/23/2018,0.21,1,0,0,
i3088,Entire home/apt,81,1,475,8/4/2023,6.78,3,329,39,
i3089,Entire home/apt,71,2,8,12/2/2017,0.11,1,0,0,
i3090,Entire home/apt,200,3,0,,,1,0,0,
i3091,Entire home/apt,85,2,6,10/31/2020,0.08,1,0,0,
i3092,Entire home/apt,220,2,1,3/18/2018,0.01,1,0,0,
i3093,Entire home/apt,139,2,37,8/1/2023,0.52,2,14,20,
i3094,Entire home/apt,115,30,9,5/14/2023,0.14,1,341,2,
i3095,Entire home/apt,143,2,123,8/23/2023,1.71,20,157,23,
i3096,Entire home/apt,89,2,7,5/21/2018,0.1,1,0,0,
i3097,Entire home/apt,219,9,3,1/29/2018,0.04,1,0,0,
i3098,Entire home/apt,200,2,1,10/23/2017,0.01,1,0,0,
i3099,Entire home/apt,215,10,3,10/29/2017,0.04,1,0,0,
i3100,Entire home/apt,150,2,94,10/16/2022,1.3,1,37,1,
i3101,Private room,90,2,0,,,1,0,0,
i3102,Entire home/apt,366,3,108,8/6/2023,1.51,19,353,15,
i3103,Entire home/apt,158,2,88,4/16/2023,1.22,44,349,3,
i3104,Entire home/apt,157,1,444,9/4/2023,6.2,7,289,72,
i3105,Private room,70,1,4,3/14/2018,0.06,1,0,0,
i3106,Entire home/apt,134,2,21,9/4/2023,0.29,1,102,19,
i3107,Entire home/apt,87,2,318,8/26/2023,4.44,2,159,44,
i3108,Entire home/apt,310,4,1,10/16/2017,0.01,1,0,0,
i3109,Private room,85,2,42,11/15/2022,0.58,2,0,6,
i3110,Private room,50,2,0,,,1,0,0,
i3111,Entire home/apt,106,7,255,8/29/2023,3.54,18,340,37,
i3112,Entire home/apt,185,2,2,10/15/2017,0.03,1,0,0,
i3113,Entire home/apt,525,3,0,,,1,0,0,
i3114,Entire home/apt,64,2,2,10/25/2017,0.03,1,0,0,
i3115,Private room,45,1,9,3/9/2018,0.13,1,0,0,
i3116,Entire home/apt,157,2,2,10/7/2018,0.03,1,0,0,
i3117,Private room,150,1,0,,,1,0,0,
i3118,Private room,60,1,22,6/24/2018,0.31,1,0,0,
i3119,Private room,100,1,6,4/14/2018,0.08,1,0,0,
i3120,Entire home/apt,180,13,0,,,1,180,0,
i3121,Entire home/apt,225,2,1,10/9/2017,0.01,1,0,0,
i3122,Private room,245,1,0,,,2,0,0,
i3123,Private room,41,1,3,2/26/2018,0.04,1,0,0,
i3124,Entire home/apt,75,2,15,11/26/2018,0.21,1,0,0,
i3125,Entire home/apt,800,2,0,,,2,0,0,
i3126,Private room,90,1,0,,,1,0,0,
i3127,Private room,125,1,1,10/7/2017,0.01,1,0,0,
i3128,Entire home/apt,190,2,1,10/15/2017,0.01,1,0,0,
i3129,Private room,48,1,85,11/17/2019,1.22,2,0,0,
i3130,Entire home/apt,150,1,1,10/4/2017,0.01,1,0,0,
i3131,Entire home/apt,83,2,5,11/12/2017,0.07,1,0,0,
i3132,Private room,100,1,0,,,1,0,0,
i3133,Entire home/apt,99,2,31,11/12/2019,0.43,1,0,0,
i3134,Entire home/apt,79,3,2,10/28/2017,0.03,1,0,0,
i3135,Entire home/apt,100,1,1,10/15/2017,0.01,1,0,0,
i3136,Entire home/apt,180,2,1,10/15/2017,0.01,1,0,0,
i3137,Entire home/apt,252,2,57,9/4/2023,0.79,1,41,28,
i3138,Entire home/apt,84,2,2,10/16/2017,0.03,1,0,0,
i3139,Entire home/apt,75,1,205,8/25/2023,2.85,28,64,25,
i3140,Entire home/apt,200,2,6,8/22/2021,0.09,1,0,0,
i3141,Entire home/apt,375,2,0,,,1,0,0,
i3142,Private room,110,1,1,10/15/2017,0.01,1,0,0,
i3143,Entire home/apt,114,1,432,9/1/2023,6.05,2,2,95,
i3144,Entire home/apt,80,1,1,10/6/2017,0.01,1,0,0,
i3145,Entire home/apt,80,1,0,,,1,0,0,
i3146,Private room,200,1,0,,,1,0,0,
i3147,Private room,70,2,1,10/15/2017,0.01,1,0,0,
i3148,Private room,50,1,2,5/13/2018,0.03,2,0,0,
i3149,Shared room,30,10,63,4/5/2023,0.88,4,313,3,
i3150,Entire home/apt,372,1,157,8/27/2023,2.19,1,343,9,
i3151,Entire home/apt,295,30,22,1/1/2023,0.31,4,193,2,
i3152,Private room,47,1,5,12/2/2017,0.07,2,0,0,
i3153,Entire home/apt,42,3,0,,,1,0,0,
i3154,Entire home/apt,108,30,94,2/12/2023,1.31,3,22,2,
i3155,Entire home/apt,112,5,0,,,1,0,0,
i3156,Entire home/apt,279,1,14,8/28/2023,0.21,1,59,4,
i3157,Entire home/apt,177,2,248,8/27/2023,3.7,1,298,28,
i3158,Entire home/apt,59,1,69,1/18/2020,0.97,1,0,0,
i3159,Entire home/apt,115,3,28,3/2/2020,0.39,1,0,0,
i3160,Entire home/apt,100,1,0,,,2,0,0,
i3161,Entire home/apt,144,3,131,6/26/2023,1.82,1,61,12,
i3162,Entire home/apt,80,1,2,10/15/2017,0.03,1,0,0,
i3163,Private room,160,1,0,,,1,0,0,
i3164,Entire home/apt,136,2,280,9/9/2023,3.91,2,169,39,
i3165,Private room,61,1,189,8/9/2023,2.63,1,348,35,
i3166,Entire home/apt,40,1,1,4/22/2018,0.02,1,0,0,
i3167,Entire home/apt,119,3,47,9/3/2023,0.66,7,362,9,
i3168,Entire home/apt,129,30,34,6/1/2023,0.5,1,270,5,
i3169,Shared room,19,30,12,5/14/2023,0.17,89,262,1,
i3170,Entire home/apt,532,5,0,,,12,25,0,
i3171,Entire home/apt,45,1,11,5/27/2018,0.15,1,0,0,
i3172,Entire home/apt,49,1,2,11/29/2017,0.03,1,0,0,
i3173,Entire home/apt,67,1,294,9/4/2023,4.12,1,139,54,
i3174,Entire home/apt,775,4,54,8/9/2023,0.77,1,169,11,
i3175,Private room,70,30,18,7/12/2021,0.27,4,364,0,
i3176,Private room,30,5,15,12/29/2018,0.22,4,193,0,
i3177,Entire home/apt,100,4,108,10/25/2022,1.51,1,360,1,
i3178,Entire home/apt,1957,1,26,5/31/2023,0.37,13,330,2,
i3179,Entire home/apt,1762,1,71,8/20/2023,1.03,13,337,11,
i3180,Entire home/apt,265,2,1,10/22/2017,0.01,1,0,0,
i3181,Shared room,27,30,4,5/15/2021,0.06,89,258,0,
i3182,Entire home/apt,49,30,17,6/23/2018,0.24,1,0,0,
i3183,Entire home/apt,179,2,67,11/10/2019,0.94,1,0,0,
i3184,Entire home/apt,264,2,62,5/13/2023,0.87,15,364,7,
i3185,Entire home/apt,130,2,67,7/8/2023,0.94,15,364,7,
i3186,Entire home/apt,100,1,31,5/1/2018,0.44,1,0,0,
i3187,Entire home/apt,100,2,64,10/2/2022,0.9,1,0,2,
i3188,Entire home/apt,179,1,2,1/19/2018,0.03,1,0,0,
i3189,Private room,48,1,0,,,1,0,0,
i3190,Private room,45,30,11,8/8/2022,0.16,89,278,0,
i3191,Entire home/apt,275,2,1,10/7/2018,0.02,1,0,0,
i3192,Private room,50,2,0,,,1,0,0,
i3193,Entire home/apt,1450,31,0,,,4,0,0,
i3194,Private room,45,30,11,8/9/2023,0.16,89,302,2,
i3195,Private room,60,30,12,2/28/2020,0.17,1,0,0,
i3196,Entire home/apt,355,2,5,5/15/2019,0.07,1,0,0,
i3197,Private room,514,3,22,9/6/2021,0.34,1,89,0,
i3198,Entire home/apt,125,3,5,1/30/2018,0.07,1,0,0,
i3199,Entire home/apt,181,30,9,5/30/2022,0.16,7,180,0,
i3200,Entire home/apt,731,2,64,7/17/2023,0.94,31,338,13,
i3201,Entire home/apt,157,2,64,7/22/2023,0.95,1,147,14,
i3202,Entire home/apt,161,30,98,3/28/2022,1.39,1,81,0,
i3203,Entire home/apt,77,2,99,6/26/2023,1.42,2,83,14,
i3204,Entire home/apt,150,1,3,4/29/2018,0.05,1,0,0,
i3205,Private room,35,2,1,12/18/2018,0.02,1,0,0,
i3206,Entire home/apt,115,7,74,5/15/2023,1.1,5,0,4,
i3207,Entire home/apt,98,1,25,9/30/2018,0.35,2,0,0,
i3208,Entire home/apt,275,1,0,,,1,0,0,
i3209,Private room,75,1,0,,,2,0,0,
i3210,Entire home/apt,1250,3,108,9/4/2023,1.57,2,307,21,
i3211,Private room,25,2,28,3/22/2019,0.47,2,0,0,
i3212,Entire home/apt,115,3,81,9/4/2023,1.14,1,74,25,
i3213,Entire home/apt,85,3,26,7/15/2018,0.37,2,0,0,
i3214,Entire home/apt,78,30,13,10/21/2018,0.19,1,0,0,
i3215,Entire home/apt,278,1,158,8/23/2023,2.25,30,301,33,
i3216,Entire home/apt,499,3,17,6/11/2023,0.26,1,58,3,
i3217,Private room,100,30,0,,,1,0,0,
i3218,Entire home/apt,275,4,2,1/1/2018,0.03,1,0,0,
i3219,Entire home/apt,65,2,0,,,1,0,0,
i3220,Entire home/apt,169,2,24,10/15/2018,0.35,1,0,0,
i3221,Private room,45,1,0,,,1,0,0,
i3222,Entire home/apt,128,5,7,10/1/2018,0.1,1,0,0,
i3223,Private room,28,5,4,6/30/2018,0.06,1,0,0,
i3224,Private room,38,7,8,6/2/2018,0.11,1,0,0,
i3225,Entire home/apt,154,31,70,8/12/2023,0.99,1,194,16,
i3226,Private room,30,2,5,7/1/2018,0.07,2,0,0,
i3227,Entire home/apt,75,1,0,,,1,0,0,
i3228,Shared room,50,1,0,,,1,0,0,
i3229,Entire home/apt,79,2,71,3/3/2020,1.09,1,0,0,
i3230,Private room,45,2,2,1/14/2018,0.03,2,0,0,
i3231,Entire home/apt,78,1,15,4/1/2018,0.21,1,0,0,
i3232,Entire home/apt,79,1,260,6/11/2023,3.75,28,66,40,
i3233,Shared room,19,30,8,9/18/2022,0.12,89,261,1,
i3234,Shared room,19,30,13,4/12/2023,0.19,89,222,2,
i3235,Shared room,19,30,7,3/27/2023,0.11,89,254,1,
i3236,Shared room,19,30,9,5/11/2023,0.14,89,264,2,
i3237,Entire home/apt,150,30,8,5/30/2022,0.12,1,0,0,
i3238,Entire home/apt,99,3,1,12/20/2017,0.01,1,0,0,
i3239,Private room,60,30,37,5/23/2023,0.55,5,104,2,
i3240,Entire home/apt,145,30,8,3/18/2023,0.12,1,177,2,
i3241,Entire home/apt,54,1,76,6/19/2023,1.09,1,3,10,
i3242,Entire home/apt,480,2,68,10/24/2022,0.99,1,38,1,
i3243,Private room,42,30,28,3/30/2022,0.41,3,89,0,
i3244,Private room,10,1,0,,,1,0,0,
i3245,Entire home/apt,313,2,81,7/31/2023,1.18,3,140,8,
i3246,Private room,80,1,4,2/27/2018,0.06,1,88,0,
i3247,Entire home/apt,134,2,289,9/3/2023,4.11,1,128,51,
i3248,Entire home/apt,250,5,9,3/29/2023,0.21,2,119,1,
i3249,Entire home/apt,125,1,27,1/5/2020,0.39,1,0,0,
i3250,Entire home/apt,199,2,471,9/10/2023,6.77,2,34,75,
i3251,Private room,50,1,0,,,1,0,0,
i3252,Private room,35,1,3,3/15/2018,0.04,2,0,0,
i3253,Entire home/apt,153,14,39,2/4/2023,2.08,1,138,14,
i3254,Entire home/apt,99,3,67,12/12/2022,1.04,19,334,4,
i3255,Entire home/apt,204,2,157,4/30/2023,2.24,1,86,11,
i3256,Private room,29,1,0,,,1,0,0,
i3257,Entire home/apt,80,1,240,8/18/2023,3.43,28,81,42,
i3258,Entire home/apt,60,4,84,5/1/2023,1.25,1,74,13,
i3259,Entire home/apt,60,3,10,3/26/2019,0.14,2,0,0,
i3260,Entire home/apt,125,1,129,6/18/2023,1.92,15,232,6,
i3261,Entire home/apt,75,1,220,7/30/2023,3.15,28,83,22,
i3262,Entire home/apt,777,3,91,7/14/2023,1.31,1,88,9,
i3263,Entire home/apt,219,2,35,8/20/2023,0.54,43,360,9,
i3264,Entire home/apt,77,1,207,8/11/2023,3.02,28,82,24,
i3265,Entire home/apt,75,1,228,6/2/2023,3.29,28,74,38,
i3266,Private room,35,1,17,7/26/2018,0.25,1,0,0,
i3267,Entire home/apt,252,2,263,8/28/2023,3.79,6,315,42,
i3268,Entire home/apt,145,3,105,8/1/2023,1.51,1,232,7,
i3269,Entire home/apt,138,1,168,12/11/2021,2.42,1,0,0,
i3270,Private room,37,6,25,7/16/2023,0.36,2,7,7,
i3271,Entire home/apt,300,3,17,3/18/2022,0.25,1,0,0,
i3272,Entire home/apt,500,4,38,7/18/2021,0.56,1,0,0,
i3273,Entire home/apt,98,1,517,8/23/2023,7.41,1,36,96,
i3274,Entire home/apt,131,3,105,8/3/2023,1.56,1,154,16,
i3275,Entire home/apt,111,2,89,3/19/2022,1.28,1,0,0,
i3276,Entire home/apt,90,21,2,8/1/2023,0.03,2,0,1,
i3277,Private room,90,7,5,3/21/2019,0.08,2,0,0,
i3278,Private room,180,1,1,12/29/2017,0.01,2,364,0,
i3279,Entire home/apt,75,1,216,8/22/2023,3.12,2,88,46,
i3280,Entire home/apt,60,1,0,,,3,0,0,
i3281,Entire home/apt,650,1,32,3/8/2020,0.48,19,0,0,
i3282,Entire home/apt,125,1,0,,,1,0,0,
i3283,Entire home/apt,225,1,1,1/1/2018,0.01,1,0,0,
i3284,Entire home/apt,65,1,3,12/31/2017,0.04,2,0,0,
i3285,Entire home/apt,65,1,2,12/30/2017,0.03,1,0,0,
i3286,Private room,50,1,0,,,1,0,0,
i3287,Private room,70,1,25,4/1/2018,0.36,4,0,0,
i3288,Entire home/apt,749,3,3,6/12/2022,0.05,7,359,0,
i3289,Entire home/apt,65,1,0,,,2,0,0,
i3290,Entire home/apt,100,1,0,,,1,0,0,
i3291,Entire home/apt,85,1,1,12/31/2017,0.01,1,0,0,
i3292,Private room,38,5,0,,,1,0,0,
i3293,Entire home/apt,88,1,291,8/26/2023,4.2,2,162,40,
i3294,Private room,59,1,5,3/14/2023,0.33,2,352,2,
i3295,Entire home/apt,170,20,1,8/5/2018,0.02,1,0,0,
i3296,Entire home/apt,489,1,0,,,1,0,0,
i3297,Entire home/apt,120,2,72,4/23/2023,1.05,2,1,6,
i3298,Entire home/apt,1214,3,36,8/20/2023,0.54,10,314,18,
i3299,Entire home/apt,205,1,271,7/31/2023,3.91,1,63,60,
i3300,Entire home/apt,86,1,521,8/21/2023,7.57,2,50,71,
i3301,Entire home/apt,400,2,27,4/4/2021,0.4,3,0,0,
i3302,Private room,103,3,0,,,1,0,0,
i3303,Private room,35,6,32,6/8/2023,0.46,2,31,7,
i3304,Entire home/apt,70,1100,93,3/28/2020,1.36,1,0,0,
i3305,Private room,178,1,49,7/18/2023,1.21,6,77,10,
i3306,Entire home/apt,139,1,136,9/4/2023,3.16,6,86,31,
i3307,Entire home/apt,101,1,354,8/20/2023,5.13,4,38,60,
i3308,Entire home/apt,104,2,342,9/4/2023,4.97,12,143,55,
i3309,Entire home/apt,349,2,17,7/28/2019,0.25,1,0,0,
i3310,Entire home/apt,1942,1,38,3/26/2023,0.58,13,330,2,
i3311,Entire home/apt,384,3,96,9/4/2023,1.44,2,43,20,
i3312,Private room,600,1,125,1/1/2020,1.81,1,180,0,
i3313,Entire home/apt,50,2,1,1/4/2018,0.01,3,0,0,
i3314,Private room,41,1,43,9/4/2023,1.31,3,1,20,
i3315,Entire home/apt,250,2,3,3/25/2018,0.04,4,0,0,
i3316,Entire home/apt,1200,5,12,7/6/2022,0.18,1,120,0,
i3317,Entire home/apt,100,3,164,7/31/2023,2.42,2,52,26,
i3318,Private room,50,1,152,3/7/2020,2.21,3,0,0,
i3319,Entire home/apt,133,2,210,7/29/2023,3.14,32,311,24,
i3320,Entire home/apt,80,1,442,8/27/2023,6.42,3,336,42,
i3321,Entire home/apt,168,1,73,11/24/2019,1.16,1,0,0,
i3322,Entire home/apt,800,2,3,9/25/2018,0.04,2,0,0,
i3323,Entire home/apt,1000,3,204,8/20/2023,2.99,1,275,41,
i3324,Private room,100,1,3,2/23/2018,0.04,1,0,0,
i3325,Private room,63,1,1,1/8/2018,0.01,2,0,0,
i3326,Entire home/apt,90,30,14,11/7/2018,0.21,1,0,0,
i3327,Entire home/apt,300,28,6,1/31/2022,0.09,1,177,0,
i3328,Entire home/apt,132,60,5,10/24/2022,0.21,4,18,1,
i3329,Entire home/apt,160,30,0,,,1,108,0,
i3330,Entire home/apt,140,5,44,3/19/2022,0.66,3,0,0,
i3331,Entire home/apt,100,180,0,,,1,100,0,
i3332,Entire home/apt,81,2,144,8/31/2023,2.15,7,296,17,
i3333,Entire home/apt,73,1,10,4/1/2018,0.14,1,0,0,
i3334,Entire home/apt,209,2,10,10/17/2022,0.15,3,0,2,
i3335,Entire home/apt,310,2,3,6/11/2018,0.04,1,0,0,
i3336,Entire home/apt,209,2,8,10/16/2022,0.13,3,1,1,
i3337,Entire home/apt,130,2,294,3/25/2023,4.28,1,140,22,
i3338,Entire home/apt,625,3,8,5/27/2019,0.12,1,177,0,
i3339,Private room,73,1,83,12/20/2022,1.21,2,0,10,
i3340,Entire home/apt,73,150,15,8/21/2022,0.22,1,313,0,
i3341,Entire home/apt,175,2,23,10/24/2022,0.34,1,355,2,
i3342,Entire home/apt,125,1,6,10/25/2021,0.1,1,175,0,
i3343,Entire home/apt,5714,2,4,6/20/2021,0.11,1,0,0,
i3344,Entire home/apt,300,2,1,3/18/2018,0.01,1,0,0,
i3345,Entire home/apt,99,2,3,7/2/2018,0.05,1,0,0,
i3346,Entire home/apt,364,2,49,7/9/2023,0.76,2,63,8,
i3347,Entire home/apt,200,5,1,3/17/2018,0.01,1,0,0,
i3348,Private room,100,1,1,3/17/2018,0.01,1,0,0,
i3349,Entire home/apt,529,2,103,7/13/2023,1.54,3,96,24,
i3350,Entire home/apt,223,1,69,7/2/2023,1.06,1,156,24,
i3351,Entire home/apt,78,2,197,8/31/2023,2.94,1,122,29,
i3352,Entire home/apt,175,4,0,,,1,0,0,
i3353,Private room,58,1,34,5/21/2023,0.51,2,89,8,
i3354,Entire home/apt,100,2,5,5/20/2018,0.07,2,0,0,
i3355,Private room,145,2,2,4/16/2023,0.19,1,87,2,
i3356,Entire home/apt,53,200,39,9/11/2020,0.57,1,88,0,
i3357,Private room,68,3,55,1/3/2020,0.81,1,0,0,
i3358,Entire home/apt,200,1,20,3/16/2023,0.3,1,67,6,
i3359,Entire home/apt,224,2,75,4/23/2023,1.09,2,23,10,
i3360,Entire home/apt,800,4,2,10/25/2021,0.03,1,88,0,
i3361,Entire home/apt,128,2,107,7/31/2023,1.58,1,0,11,
i3362,Entire home/apt,281,3,344,3/20/2022,5.03,1,0,0,
i3363,Private room,38,30,282,3/13/2023,4.11,6,0,1,
i3364,Entire home/apt,343,2,103,5/7/2023,1.51,1,0,9,
i3365,Entire home/apt,75,1,0,,,1,0,0,
i3366,Entire home/apt,320,2,1,2/4/2018,0.01,1,0,0,
i3367,Entire home/apt,90,30,38,11/21/2022,0.69,1,0,2,
i3368,Entire home/apt,107,2,181,1/31/2022,2.71,1,0,0,
i3369,Entire home/apt,190,2,124,8/3/2023,1.83,1,311,18,
i3370,Entire home/apt,139,1,131,8/19/2023,2.53,1,9,16,
i3371,Entire home/apt,349,6,0,,,1,0,0,
i3372,Entire home/apt,150,1,2,3/19/2018,0.03,1,0,0,
i3373,Entire home/apt,97,3,103,9/3/2023,1.53,1,139,10,
i3374,Private room,125,1,0,,,1,167,0,
i3375,Entire home/apt,3500,4,1,3/13/2018,0.01,3,0,0,
i3376,Entire home/apt,1191,1,99,8/16/2023,1.46,1,310,22,
i3377,Entire home/apt,91,30,16,5/10/2023,0.27,3,148,6,
i3378,Private room,35,1,12,3/11/2019,0.18,1,0,0,
i3379,Entire home/apt,196,5,50,4/8/2023,0.85,3,266,8,
i3380,Entire home/apt,524,2,111,5/7/2023,1.66,1,52,9,
i3381,Entire home/apt,511,1,129,4/30/2023,2,22,193,4,
i3382,Entire home/apt,800,2,58,5/5/2023,0.87,1,160,5,
i3383,Private room,40,2,11,8/4/2023,0.17,3,39,5,
i3384,Entire home/apt,259,1,153,8/20/2023,2.28,30,307,23,
i3385,Entire home/apt,203,3,51,6/19/2023,0.76,15,364,13,
i3386,Entire home/apt,225,4,1,3/15/2018,0.01,1,0,0,
i3387,Private room,45,30,6,8/13/2023,0.1,89,284,1,
i3388,Entire home/apt,875,2,0,,,1,364,0,
i3389,Entire home/apt,220,28,197,1/2/2023,2.88,5,88,5,
i3390,Entire home/apt,314,2,17,11/3/2019,0.25,3,0,0,
i3391,Entire home/apt,900,5,0,,,1,0,0,
i3392,Private room,125,1,15,3/11/2019,0.22,1,0,0,
i3393,Entire home/apt,75,2,5,12/29/2018,0.07,1,0,0,
i3394,Entire home/apt,375,1,166,5/22/2021,2.44,1,17,0,
i3395,Private room,200,1,4,3/10/2019,0.06,1,0,0,
i3396,Entire home/apt,375,3,1,3/14/2018,0.01,1,0,0,
i3397,Entire home/apt,109,2,108,8/13/2023,1.6,3,51,20,
i3398,Entire home/apt,84,1,382,8/30/2023,5.61,2,41,49,
i3399,Entire home/apt,10000,500,1,3/14/2018,0.01,1,180,0,
i3400,Entire home/apt,64,3,6,8/1/2018,0.09,1,0,0,
i3401,Entire home/apt,189,4,100,10/17/2022,1.66,3,0,1,
i3402,Entire home/apt,699,4,0,,,1,0,0,
i3403,Entire home/apt,126,3,246,8/31/2023,3.75,1,149,44,
i3404,Entire home/apt,140,30,15,6/30/2023,0.22,4,90,3,
i3405,Entire home/apt,400,30,2,8/6/2023,0.08,3,32,1,
i3406,Private room,50,1,49,7/21/2019,0.72,1,0,0,
i3407,Entire home/apt,101,1,630,9/10/2023,9.34,1,322,149,
i3408,Entire home/apt,88,1,137,7/23/2023,2.02,2,23,39,
i3409,Entire home/apt,105,28,18,8/26/2023,0.27,3,215,4,
i3410,Entire home/apt,99,1,160,7/9/2023,2.36,28,76,19,
i3411,Private room,58,30,0,,,1,69,0,
i3412,Entire home/apt,195,2,166,9/4/2023,2.45,2,248,21,
i3413,Entire home/apt,175,2,2,3/19/2018,0.03,1,0,0,
i3414,Entire home/apt,175,2,13,11/16/2018,0.19,1,0,0,
i3415,Private room,40,1,106,3/6/2020,1.56,3,0,0,
i3416,Entire home/apt,211,2,3,7/20/2018,0.04,8,10,0,
i3417,Entire home/apt,42,1,39,3/9/2020,0.58,1,0,0,
i3418,Entire home/apt,69,2,113,5/22/2022,1.86,1,0,0,
i3419,Entire home/apt,192,2,2,4/29/2018,0.03,8,23,0,
i3420,Entire home/apt,238,2,2,8/26/2022,0.03,8,0,0,
i3421,Entire home/apt,81,1,173,8/13/2023,2.55,28,67,22,
i3422,Entire home/apt,83,1,121,7/3/2023,1.81,28,64,12,
i3423,Entire home/apt,200,30,7,8/14/2023,0.11,2,150,1,
i3424,Entire home/apt,168,2,224,8/13/2023,3.35,1,19,30,
i3425,Entire home/apt,84,2,249,8/28/2023,3.66,1,16,42,
i3426,Entire home/apt,549,2,2,3/18/2018,0.03,1,27,0,
i3427,Entire home/apt,550,3,13,2/19/2020,0.19,1,78,0,
i3428,Entire home/apt,170,2,11,6/4/2022,0.16,8,23,0,
i3429,Entire home/apt,211,2,1,3/22/2018,0.02,8,10,0,
i3430,Private room,70,5,0,,,1,0,0,
i3431,Entire home/apt,1000,2,2,6/28/2020,0.04,2,352,0,
i3432,Entire home/apt,428,2,105,7/25/2023,1.56,78,316,8,
i3433,Entire home/apt,192,2,2,2/15/2018,0.03,8,23,0,
i3434,Entire home/apt,110,3,157,8/6/2023,2.34,5,53,12,
i3435,Entire home/apt,400,2,4,10/13/2019,0.08,1,0,0,
i3436,Entire home/apt,192,2,2,4/29/2018,0.03,8,23,0,
i3437,Entire home/apt,156,2,70,9/5/2023,1.05,1,87,23,
i3438,Entire home/apt,92,1,219,8/26/2023,3.26,15,356,17,
i3439,Entire home/apt,814,2,26,3/20/2023,0.41,1,177,1,
i3440,Private room,60,60,6,5/28/2023,0.27,3,41,4,
i3441,Entire home/apt,456,3,18,9/4/2023,0.27,1,57,9,
i3442,Entire home/apt,421,3,22,1/20/2020,0.33,2,20,0,
i3443,Entire home/apt,220,2,0,,,1,0,0,
i3444,Entire home/apt,60,1,14,3/19/2018,0.21,1,0,0,
i3445,Entire home/apt,153,3,0,,,1,0,0,
i3446,Entire home/apt,110,30,113,6/13/2021,1.69,1,0,0,
i3447,Private room,85,2,19,2/16/2020,0.28,2,0,0,
i3448,Entire home/apt,98,2,34,3/10/2020,0.5,2,0,0,
i3449,Entire home/apt,1304,3,72,8/20/2023,1.11,78,303,6,
i3450,Entire home/apt,162,2,28,7/24/2022,1.14,1,20,0,
i3451,Private room,61,1,74,9/4/2023,1.09,1,57,39,
i3452,Private room,499,1,17,2/10/2020,0.25,6,0,0,
i3453,Entire home/apt,100,3,2,3/18/2018,0.03,1,0,0,
i3454,Entire home/apt,65,2,4,3/18/2018,0.06,1,0,0,
i3455,Entire home/apt,750,2,0,,,1,0,0,
i3456,Entire home/apt,82,14,8,8/21/2023,0.12,1,9,2,
i3457,Private room,40,1,1,2/19/2018,0.01,1,0,0,
i3458,Entire home/apt,170,2,97,8/27/2023,1.45,1,253,38,
i3459,Entire home/apt,50,1,0,,,1,0,0,
i3460,Entire home/apt,200,2,21,4/16/2023,0.31,1,177,2,
i3461,Private room,56,2,25,5/9/2022,0.37,2,253,0,
i3462,Private room,56,2,88,4/9/2022,1.31,2,252,0,
i3463,Entire home/apt,150,2,7,10/16/2018,0.1,1,0,0,
i3464,Entire home/apt,137,2,278,8/25/2023,4.27,2,263,33,
i3465,Entire home/apt,600,14,0,,,1,0,0,
i3466,Entire home/apt,140,5,2,3/16/2023,0.1,1,180,1,
i3467,Entire home/apt,110,1,41,6/24/2018,0.61,1,0,0,
i3468,Private room,499,1,8,11/3/2019,0.12,6,0,0,
i3469,Entire home/apt,90,5,5,8/5/2023,0.08,1,0,1,
i3470,Entire home/apt,99,30,17,5/4/2023,0.28,3,159,3,
i3471,Entire home/apt,450,3,6,10/24/2022,0.09,1,0,1,
i3472,Entire home/apt,109,1,263,9/4/2023,3.88,2,108,50,
i3473,Entire home/apt,259,3,41,7/5/2023,0.61,2,128,14,
i3474,Private room,51,1,328,9/5/2023,4.86,1,53,64,
i3475,Entire home/apt,250,3,0,,,1,0,0,
i3476,Entire home/apt,300,5,0,,,1,0,0,
i3477,Private room,36,5,4,5/13/2018,0.06,1,0,0,
i3478,Entire home/apt,499,4,2,3/18/2018,0.03,1,0,0,
i3479,Entire home/apt,75,30,96,8/11/2023,1.42,1,310,3,
i3480,Entire home/apt,152,2,2,9/16/2018,0.03,1,0,0,
i3481,Entire home/apt,300,2,0,,,1,0,0,
i3482,Entire home/apt,170,2,0,,,1,0,0,
i3483,Entire home/apt,280,2,95,9/5/2023,1.41,1,113,24,
i3484,Private room,71,1,0,,,1,0,0,
