id,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
i8898,Entire home/apt,108,1,86,8/16/2023,4.9,1,175,51,
i8899,Entire home/apt,100,3,40,9/4/2023,2.25,1,47,24,
i8900,Entire home/apt,200,28,5,6/24/2023,0.31,2,83,2,
i8901,Entire home/apt,163,1,77,9/4/2023,4.54,12,316,51,
i8902,Entire home/apt,79,2,19,4/17/2023,1.07,2,332,10,
i8903,Entire home/apt,215,2,7,3/26/2023,0.48,1,103,3,
i8904,Entire home/apt,80,120,0,,,19,91,0,
i8905,Entire home/apt,264,2,45,9/4/2023,2.54,2,327,29,
i8906,Entire home/apt,105,28,0,,,1,0,0,
i8907,Entire home/apt,280,2,12,8/11/2022,0.68,1,0,0,
i8908,Entire home/apt,141,1,34,9/4/2023,1.97,1,46,24,
i8909,Entire home/apt,100,30,5,8/19/2023,0.3,1,59,3,
i8910,Entire home/apt,92,2,31,9/4/2023,1.74,17,151,25,
i8911,Entire home/apt,97,2,22,8/23/2023,1.29,17,174,10,
i8912,Entire home/apt,300,3,5,3/9/2023,0.47,1,325,5,
i8913,Entire home/apt,207,2,12,8/31/2023,0.67,8,88,5,
i8914,Entire home/apt,153,1,84,8/26/2023,5.05,3,157,62,
i8915,Entire home/apt,656,1,3,3/15/2023,0.19,5,311,1,
i8916,Entire home/apt,450,1,29,8/4/2023,1.64,2,6,16,
i8917,Entire home/apt,252,2,0,,,49,4,0,
i8918,Entire home/apt,324,2,34,8/12/2023,1.94,6,0,16,
i8919,Entire home/apt,161,2,40,9/3/2023,2.25,6,0,21,
i8920,Entire home/apt,566,1,24,8/15/2023,1.37,78,335,14,
i8921,Private room,350,3,1,5/30/2022,0.06,1,3,0,
i8922,Entire home/apt,389,6,1,5/24/2022,0.06,8,0,0,
i8923,Entire home/apt,71,1,19,8/21/2023,1.1,32,327,13,
i8924,Entire home/apt,159,1,11,5/21/2023,0.95,19,274,11,
i8925,Entire home/apt,125,2,28,9/3/2023,2.03,23,163,25,
i8926,Entire home/apt,201,2,23,5/6/2023,1.32,1,50,13,
i8927,Private room,78,1,9,4/16/2023,0.51,2,360,4,
i8928,Private room,50,1,4,8/27/2023,0.35,2,90,4,
i8929,Private room,88,1,17,9/3/2023,0.98,2,52,14,
i8930,Entire home/apt,96,12,7,5/27/2023,0.42,1,221,6,
i8931,Private room,95,2,8,10/24/2022,0.46,1,283,4,
i8932,Entire home/apt,69,1,102,8/28/2023,5.78,8,333,59,
i8933,Entire home/apt,119,29,5,6/1/2023,0.42,1,24,5,
i8934,Entire home/apt,110,30,13,5/15/2023,0.77,1,88,8,
i8935,Entire home/apt,356,14,2,10/25/2022,0.13,1,8,1,
i8936,Private room,111,1,0,,,1,90,0,
i8937,Entire home/apt,190,1,12,7/23/2023,0.86,1,205,10,
i8938,Entire home/apt,138,1,15,9/7/2023,0.91,8,323,10,
i8939,Entire home/apt,160,1,38,9/4/2023,2.77,3,148,32,
i8940,Entire home/apt,136,1,124,9/6/2023,7.21,1,113,100,
i8941,Entire home/apt,389,4,0,,,8,4,0,
i8942,Entire home/apt,315,3,31,9/4/2023,1.84,1,133,21,
i8943,Entire home/apt,199,2,37,5/7/2023,2.11,1,0,21,
i8944,Entire home/apt,178,2,49,9/3/2023,2.88,1,68,30,
i8945,Entire home/apt,102,30,0,,,2,128,0,
i8946,Entire home/apt,194,2,65,8/27/2023,3.86,3,322,42,
i8947,Entire home/apt,192,2,62,8/27/2023,3.85,1,44,56,
i8948,Private room,156,2,13,7/30/2023,1.11,1,177,13,
i8949,Entire home/apt,720,1,0,,,14,365,0,
