id,number_of_reviews,last_review,reviews_per_month,number_of_reviews_ltm
2570,3,3/18/18,0.04,0
2571,6,4/14/19,0.08,0
2572,0,,,0
2573,12,6/8/23,0.17,5
2574,0,,,0
2575,214,5/29/23,2.7,8
2576,6,4/16/23,0.08,2
2577,178,9/5/23,2.25,7
2578,2,3/19/17,0.03,0
2579,0,,,0
2580,0,,,0
2581,5,7/1/18,0.06,0
2582,120,8/22/23,1.52,84
2583,0,,,0
2584,3,3/21/17,0.04,0
2585,0,,,0
2586,16,11/13/22,0.2,4
2587,101,4/30/23,1.27,13
2588,38,12/22/22,0.5,1
2589,182,6/29/23,2.3,3
2590,0,,,0
2591,1,3/15/17,0.01,0
2592,0,,,0
2593,419,8/19/23,5.31,59
2594,2,3/17/17,0.03,0
2595,60,12/30/19,0.76,0
2596,8,10/13/18,0.1,0
2597,184,8/10/23,2.33,13
2598,4,3/17/17,0.05,0
2599,50,2/1/19,0.63,0
2600,0,,,0
2601,1,3/19/17,0.01,0
2602,1,3/17/19,0.02,0
2603,0,,,0
2604,210,8/22/23,2.73,45
2605,13,8/21/18,0.16,0
2606,14,7/5/17,0.18,0
2607,6,5/17/23,0.12,3
2608,1,3/7/17,0.01,0
2609,0,,,0
2610,4,3/19/18,0.05,0
2611,3,3/19/17,0.04,0
2612,0,,,0
2613,317,8/20/23,4.01,52
2614,119,3/17/23,1.51,2
2615,42,7/30/23,0.54,3
2616,190,11/21/21,2.4,0
2617,24,7/15/18,0.3,0
2618,33,7/9/23,0.42,8
2619,133,5/21/23,1.7,10
2620,1,3/14/17,0.01,0
2621,48,7/9/23,0.61,34
2622,3,7/9/17,0.04,0
2623,1,10/22/21,0.04,0
2624,0,,,0
2625,0,,,0
2626,2,3/8/17,0.03,0
2627,3,3/18/17,0.04,0
2628,126,5/9/23,1.59,5
2629,0,,,0
2630,148,7/31/23,1.87,4
2631,153,6/7/23,1.94,3
2632,1,5/7/17,0.01,0
2633,0,,,0
2634,102,7/31/23,1.34,5
2635,0,,,0
2636,125,7/2/23,1.58,6
2637,0,,,0
2638,1,3/13/17,0.01,0
2639,0,,,0
2640,3,4/30/17,0.04,0
2641,0,,,0
2642,21,8/27/23,0.28,5
2643,0,,,0
2644,26,7/29/23,0.36,4
2645,265,8/27/23,3.35,32
2646,210,3/12/23,2.65,14
2647,1,3/16/17,0.01,0
2648,0,,,0
2649,37,12/30/19,0.47,0
2650,1,4/19/17,0.01,0
2651,0,,,0
2652,1,3/13/17,0.01,0
2653,3,4/23/17,0.04,0
2654,0,,,0
2655,2,3/18/17,0.03,0
2656,12,9/13/21,0.15,0
2657,0,,,0
2658,130,6/11/19,1.66,0
2659,0,,,0
2660,127,6/25/23,1.63,23
2661,0,,,0
2662,110,11/16/22,1.41,2
2663,25,7/9/23,0.45,2
2664,97,8/2/23,1.44,11
2665,81,9/4/23,1.04,23
2666,1,3/18/17,0.01,0
2667,263,6/5/23,3.33,14
2668,2,10/10/21,0.03,0
2669,147,8/27/23,1.88,8
2670,1,4/7/17,0.01,0
2671,5,5/12/17,0.06,0
2672,12,7/20/22,0.2,0
2673,14,1/21/23,0.3,5
2674,0,,,0
2675,9,1/9/21,0.11,0
2676,332,9/5/23,4.42,26
2677,1,3/27/17,0.01,0
2678,0,,,0
2679,197,9/3/23,2.53,42
2680,0,,,0
2681,17,8/12/23,0.26,5
2682,26,12/3/17,0.35,0
2683,178,8/30/23,2.27,13
2684,10,8/16/23,0.86,10
2685,508,9/5/23,6.51,66
2686,31,8/15/23,0.4,3
2687,195,9/1/23,2.55,30
2688,0,,,0
2689,243,8/14/23,3.14,24
2690,0,,,0
2691,26,3/12/19,0.33,0
2692,4,8/13/17,0.05,0
2693,1,4/8/17,0.01,0
2694,700,9/4/23,8.97,83
2695,200,5/31/23,2.78,2
2696,34,7/14/19,0.44,0
2697,29,8/25/23,1.68,24
2698,47,9/4/23,0.62,7
2699,43,5/31/23,0.56,6
2700,2,6/11/23,0.6,2
2701,88,10/4/22,1.15,6
2702,62,4/7/23,0.8,5
2703,6,8/14/17,0.08,0
2704,100,8/31/23,1.33,6
2705,235,7/27/23,3.01,19
2706,5,7/18/21,0.09,0
2707,18,3/1/23,0.24,1
2708,70,5/20/19,0.9,0
2709,72,4/27/23,0.93,8
2710,36,10/23/22,0.5,4
2711,6,11/30/18,0.08,0
2712,193,8/20/23,2.51,23
2713,1,6/18/17,0.01,0
2714,464,9/9/23,6.08,86
2715,60,10/2/17,0.77,0
2716,393,7/30/23,5.15,48
2717,186,7/16/23,2.45,24
2718,71,6/11/23,1.81,17
2719,176,9/4/23,2.37,21
2720,11,4/28/23,0.15,1
2721,142,7/30/23,1.84,28
2722,24,10/24/21,0.31,0
2723,23,10/24/22,0.98,2
2724,4,10/18/17,0.05,0
2725,4,8/3/22,0.06,0
2726,126,9/4/23,1.67,78
2727,18,4/30/18,0.24,0
2728,37,10/23/22,0.55,1
2729,0,,,0
2730,139,7/9/23,1.93,16
2731,26,11/17/19,0.34,0
2732,3,7/20/18,0.04,0
2733,59,11/6/22,0.8,1
2734,104,6/18/23,1.37,7
2735,83,5/21/23,1.08,8
2736,93,3/13/23,1.2,2
2737,0,,,0
2738,92,8/6/23,1.2,7
2739,9,11/4/19,0.12,0
2740,9,3/20/23,0.12,2
2741,28,10/3/20,0.36,0
2742,109,6/2/18,1.41,0
2743,9,12/31/22,0.13,1
2744,2,6/10/23,0.64,2
2745,153,7/21/19,1.98,0
2746,2,5/29/17,0.03,0
2747,195,8/10/23,2.52,32
2748,49,7/29/23,0.65,21
2749,330,8/24/23,4.3,49
2750,314,7/7/23,4.37,54
2751,619,9/9/23,8.02,75
2752,172,3/11/20,2.29,0
2753,1,5/27/17,0.01,0
2754,152,9/4/23,2.05,28
2755,2,6/2/18,0.03,0
2756,125,1/31/22,1.73,0
2757,120,8/27/23,1.85,36
2758,48,5/27/19,0.65,0
2759,308,8/25/23,4.1,54
2760,22,5/20/18,0.29,0
2761,44,4/23/23,0.57,3
2762,55,5/30/23,0.73,4
2763,259,4/16/23,3.38,9
2764,10,5/1/21,0.14,0
2765,8,8/1/23,0.11,2
2766,243,4/23/23,3.16,4
2767,9,7/24/17,0.12,0
2768,7,3/16/19,0.09,0
2769,8,7/31/21,0.15,0
2770,16,2/11/18,0.21,0
2771,2,7/4/17,0.03,0
2772,288,8/13/23,3.82,52
2773,3,7/23/17,0.04,0
2774,315,8/20/23,4.16,56
2775,10,7/1/17,0.13,0
2776,1,5/24/17,0.01,0
2777,47,1/14/23,0.65,5
2778,17,7/31/23,0.22,4
2779,17,10/24/22,0.44,1
2780,155,2/1/23,2.03,7
2781,8,5/30/21,0.15,0
2782,17,10/25/21,0.23,0
2783,22,3/14/22,0.3,0
2784,14,11/10/17,0.18,0
2785,1,5/31/17,0.01,0
2786,29,7/30/23,0.43,8
2787,230,8/18/23,3.04,40
2788,82,8/18/19,1.07,0
2789,109,5/30/23,1.43,12
2790,300,8/16/23,3.95,40
2791,9,4/29/18,0.12,0
2792,5,10/15/18,0.07,0
2793,17,12/9/18,0.23,0
2794,13,11/12/17,0.17,0
2795,23,3/19/23,0.34,1
2796,1,3/12/19,0.02,0
2797,119,7/30/23,1.56,15
2798,27,9/3/23,0.37,16
2799,7,7/26/17,0.09,0
2800,8,10/22/17,0.11,0
2801,8,9/4/17,0.1,0
2802,9,11/5/17,0.12,0
2803,1,10/8/17,0.01,0
2804,9,5/24/23,0.15,1
2805,215,9/2/23,3.21,54
2806,6,8/17/19,0.08,0
2807,86,5/15/23,1.57,16
2808,4,10/29/17,0.06,0
2809,115,5/8/23,1.82,14
2810,0,,,0
2811,139,10/22/22,1.83,6
2812,24,5/1/18,0.32,0
2813,28,5/6/18,0.37,0
2814,11,10/30/21,0.15,0
2815,10,10/15/18,0.13,0
2816,8,12/8/21,0.14,0
2817,58,9/29/19,0.77,0
2818,72,8/15/23,0.96,10
2819,8,9/3/23,1.89,8
2820,29,4/29/23,0.38,2
2821,14,3/25/20,0.25,0
2822,106,8/24/23,1.4,33
2823,263,8/25/23,3.48,24
2824,386,8/7/23,5.1,54
2825,36,2/19/19,0.47,0
2826,29,7/17/19,0.39,0
2827,44,4/18/19,0.58,0
2828,70,2/12/20,0.93,0
2829,321,9/5/23,4.26,82
2830,4,7/9/17,0.05,0
2831,258,8/16/23,3.42,49
2832,0,,,0
2833,438,8/27/23,5.79,47
2834,243,9/5/23,3.2,31
2835,10,11/13/21,0.13,0
2836,62,8/18/23,0.82,21
2837,6,5/26/19,0.08,0
2838,46,10/25/20,0.62,0
2839,226,10/16/22,3,3
2840,13,3/15/22,0.19,0
2841,68,7/30/23,1.19,7
2842,45,7/6/19,0.6,0
2843,53,7/2/19,0.7,0
2844,84,7/22/23,1.17,18
2845,25,1/5/22,0.35,0
2846,3,3/15/23,0.13,1
2847,8,8/13/23,0.11,1
2848,176,4/16/23,2.34,3
2849,251,7/31/23,3.33,27
2850,9,7/30/17,0.12,0
2851,77,8/27/23,1.03,3
2852,440,9/4/23,5.84,63
2853,515,9/4/23,6.83,71
2854,1,10/23/17,0.01,0
2855,45,8/5/18,0.6,0
2856,2,10/22/17,0.03,0
2857,44,3/10/23,0.59,1
2858,157,9/4/23,2.11,39
2859,425,8/28/23,5.64,53
2860,427,9/9/23,5.67,55
2861,487,8/20/23,6.58,78
2862,36,3/15/20,0.48,0
2863,176,12/27/22,2.36,7
2864,2,7/23/19,0.04,0
2865,91,3/8/20,1.21,0
2866,8,6/22/19,0.12,0
2867,405,8/27/23,5.51,62
2868,1,9/12/17,0.01,0
2869,0,,,0
2870,414,8/20/23,5.56,58
2871,157,9/5/23,2.1,16
2872,0,,,0
2873,82,1/1/20,1.14,0
2874,5,9/1/23,0.07,2
2875,287,8/22/23,3.83,37
2876,757,9/9/23,10.42,96
2877,24,5/27/19,0.33,0
2878,6,4/15/19,0.08,0
2879,75,7/4/23,1.09,37
2880,88,5/8/23,1.22,9
2881,24,10/22/18,0.36,0
2882,34,8/12/23,0.47,7
2883,1,2/12/23,0.14,1
2884,69,5/7/23,1,7
2885,33,6/4/23,0.48,2
2886,1,7/16/17,0.01,0
2887,6,8/28/22,0.08,0
2888,54,5/29/23,0.74,9
2889,84,3/18/20,1.14,0
2890,242,9/3/23,3.32,31
2891,409,8/27/23,5.56,65
2892,1,7/23/17,0.01,0
2893,27,10/17/22,0.38,2
2894,369,9/6/23,5.12,28
2895,16,11/3/19,0.21,0
2896,11,9/4/23,0.15,8
2897,270,9/1/23,3.62,29
2898,13,7/3/20,0.18,0
2899,1,7/30/17,0.01,0
2900,16,3/16/19,0.21,0
2901,0,,,0
2902,7,10/24/22,0.09,2
2903,32,2/5/23,0.45,1
2904,234,9/5/23,3.24,54
2905,5,5/13/23,0.08,2
2906,8,5/28/18,0.11,0
2907,85,4/1/19,1.14,0
2908,10,2/7/21,0.14,0
2909,163,8/20/23,2.24,15
2910,371,9/5/23,5.01,69
2911,165,8/11/23,2.33,31
2912,369,5/28/23,4.99,37
2913,296,12/16/22,4.01,12
2914,631,9/2/23,8.53,84
2915,7,5/25/22,0.11,0
2916,194,8/25/23,2.65,22
2917,383,8/24/23,5.58,40
2918,6,3/20/21,0.09,0
2919,8,10/21/18,0.12,0
2920,159,9/5/23,2.16,25
2921,124,6/25/23,1.67,17
2922,16,4/30/18,0.22,0
2923,157,8/20/23,2.13,23
2924,32,3/15/23,0.44,3
2925,18,1/14/18,0.24,0
2926,1,8/4/17,0.01,0
2927,449,9/3/23,6.33,38
2928,6,12/13/17,0.08,0
2929,81,7/15/23,1.15,17
2930,1,10/25/21,0.04,0
2931,222,8/27/23,3.07,31
2932,242,9/3/23,3.37,31
2933,319,9/2/23,4.31,43
2934,329,8/26/23,4.45,49
2935,10,8/10/18,0.14,0
2936,103,9/3/23,1.4,15
2937,226,8/21/23,3.09,35
2938,33,5/31/23,0.48,5
2939,137,8/12/23,1.9,25
2940,1,8/13/17,0.01,0
2941,50,8/20/23,0.72,12
2942,1,10/8/17,0.01,0
2943,21,12/30/18,0.28,0
2944,148,9/8/23,2.78,32
2945,132,1/16/23,1.8,6
2946,202,9/4/23,2.76,16
2947,7,12/28/22,0.19,1
2948,118,8/13/23,1.62,11
2949,8,10/13/19,0.12,0
2950,6,6/4/23,0.67,6
2951,34,8/14/23,0.49,3
2952,12,6/13/23,0.17,1
2953,131,7/5/23,1.82,34
2954,42,9/6/21,0.57,0
2955,89,7/3/23,1.22,17
2956,295,7/9/23,4.03,24
2957,80,3/19/23,1.1,5
2958,16,8/31/23,0.24,4
2959,2,9/2/17,0.03,0
2960,46,3/9/20,0.73,0
2961,59,8/12/23,0.8,1
2962,131,5/8/23,1.79,7
2963,10,5/28/18,0.14,0
2964,109,11/9/22,1.5,8
2965,131,7/23/23,1.79,7
2966,8,5/7/23,0.14,3
2967,0,,,0
2968,33,8/1/22,0.46,0
2969,14,7/23/23,0.22,4
2970,2,12/7/17,0.03,0
2971,1,10/8/17,0.01,0
2972,114,8/30/23,1.58,45
2973,59,3/8/20,0.81,0
2974,51,8/21/22,0.7,0
2975,19,9/4/23,0.26,4
2976,8,7/15/23,0.11,3
2977,0,,,0
2978,2,6/25/22,0.1,0
2979,301,7/23/23,4.11,39
2980,1,8/29/17,0.01,0
2981,1,8/28/17,0.01,0
2982,62,8/19/23,0.89,6
2983,104,11/21/22,1.9,6
2984,18,5/21/22,0.27,0
2985,50,6/18/23,0.75,5
2986,2,9/10/17,0.03,0
2987,3,12/26/22,0.06,1
2988,35,8/28/23,0.48,3
2989,3,5/5/19,0.04,0
2990,4,3/26/18,0.06,0
2991,0,,,0
2992,0,,,0
2993,0,,,0
2994,147,7/1/23,2.17,16
2995,120,7/31/23,1.66,11
2996,0,,,0
2997,12,9/25/22,0.49,1
2998,1,10/16/17,0.01,0
2999,1,12/7/17,0.01,0
3000,113,10/17/22,1.56,4
3001,0,,,0
3002,7,1/13/20,0.11,0
3003,0,,,0
3004,3,1/1/18,0.04,0
3005,490,8/25/23,6.75,41
3006,3,9/23/17,0.04,0
3007,13,3/27/22,0.19,0
3008,70,8/21/23,0.98,11
3009,481,9/5/23,6.61,90
3010,1,9/5/17,0.01,0
3011,79,5/7/23,1.09,12
3012,13,8/27/23,0.23,2
3013,351,9/5/23,5.01,73
3014,2,3/15/19,0.03,0
3015,456,9/1/23,6.28,77
3016,69,6/25/23,0.98,9
3017,31,9/4/23,0.46,21
3018,38,12/29/19,0.53,0
3019,8,6/22/21,0.12,0
3020,2,10/23/17,0.03,0
3021,20,12/18/22,0.28,2
3022,20,10/28/19,0.27,0
3023,14,8/31/23,0.21,4
3024,56,3/25/22,0.78,0
3025,99,9/4/23,1.38,21
3026,5,3/25/18,0.07,0
3027,86,6/12/23,1.42,21
3028,22,7/30/23,0.34,3
3029,4,2/7/21,0.07,0
3030,10,4/19/22,0.27,0
3031,1,5/27/19,0.02,0
3032,12,5/14/23,0.21,2
3033,72,8/13/23,1.22,8
3034,146,5/7/23,2.02,11
3035,0,,,0
3036,68,7/31/23,0.95,1
3037,0,,,0
3038,80,5/8/23,1.12,3
3039,201,8/28/23,2.79,27
3040,3,10/16/17,0.04,0
3041,83,4/29/23,1.16,4
3042,8,7/9/19,0.11,0
3043,13,10/21/18,0.18,0
3044,1,10/22/17,0.01,0
3045,3,2/18/18,0.04,0
3046,34,4/23/23,0.47,11
3047,23,5/7/23,0.32,1
3048,3,3/17/18,0.04,0
3049,0,,,0
3050,8,3/17/19,0.11,0
3051,31,8/1/22,0.46,0
3052,33,5/7/23,0.46,7
3053,12,1/29/23,0.17,3
3054,94,7/16/23,1.3,13
3055,6,5/6/18,0.08,0
3056,0,,,0
3057,28,9/22/19,0.39,0
3058,8,7/22/18,0.12,0
3059,6,7/22/18,0.08,0
3060,650,8/24/23,8.95,97
3061,7,10/20/17,0.1,0
3062,4,3/25/18,0.06,0
3063,0,,,0
3064,5,3/14/18,0.07,0
3065,1,9/24/17,0.01,0
3066,2,10/16/17,0.03,0
3067,130,8/21/23,2.09,30
3068,278,8/28/23,3.88,23
3069,247,12/11/22,3.42,17
3070,49,5/14/23,0.68,5
3071,43,5/29/23,0.72,7
3072,27,12/26/19,0.38,0
3073,58,3/12/20,0.8,0
3074,142,3/19/23,1.98,8
3075,26,7/25/21,0.39,0
3076,64,4/15/23,0.96,14
3077,3,10/15/17,0.04,0
3078,53,8/6/23,0.73,16
3079,70,3/19/23,0.97,1
3080,0,,,0
3081,403,8/17/23,5.57,48
3082,39,8/19/18,0.55,0
3083,2,10/26/17,0.03,0
3084,86,8/5/23,1.19,3
3085,20,7/23/23,0.31,2
3086,3,2/10/21,0.04,0
3087,15,12/23/18,0.21,0
3088,475,8/4/23,6.78,39
3089,8,12/2/17,0.11,0
3090,0,,,0
3091,6,10/31/20,0.08,0
3092,1,3/18/18,0.01,0
3093,37,8/1/23,0.52,20
3094,9,5/14/23,0.14,2
3095,123,8/23/23,1.71,23
3096,7,5/21/18,0.1,0
3097,3,1/29/18,0.04,0
3098,1,10/23/17,0.01,0
3099,3,10/29/17,0.04,0
3100,94,10/16/22,1.3,1
3101,0,,,0
3102,108,8/6/23,1.51,15
3103,88,4/16/23,1.22,3
3104,444,9/4/23,6.2,72
3105,4,3/14/18,0.06,0
3106,21,9/4/23,0.29,19
3107,318,8/26/23,4.44,44
3108,1,10/16/17,0.01,0
3109,42,11/15/22,0.58,6
3110,0,,,0
3111,255,8/29/23,3.54,37
3112,2,10/15/17,0.03,0
3113,0,,,0
3114,2,10/25/17,0.03,0
3115,9,3/9/18,0.13,0
3116,2,10/7/18,0.03,0
3117,0,,,0
3118,22,6/24/18,0.31,0
3119,6,4/14/18,0.08,0
3120,0,,,0
3121,1,10/9/17,0.01,0
3122,0,,,0
3123,3,2/26/18,0.04,0
3124,15,11/26/18,0.21,0
3125,0,,,0
3126,0,,,0
3127,1,10/7/17,0.01,0
3128,1,10/15/17,0.01,0
3129,85,11/17/19,1.22,0
3130,1,10/4/17,0.01,0
3131,5,11/12/17,0.07,0
3132,0,,,0
3133,31,11/12/19,0.43,0
3134,2,10/28/17,0.03,0
3135,1,10/15/17,0.01,0
3136,1,10/15/17,0.01,0
3137,57,9/4/23,0.79,28
3138,2,10/16/17,0.03,0
3139,205,8/25/23,2.85,25
3140,6,8/22/21,0.09,0
3141,0,,,0
3142,1,10/15/17,0.01,0
3143,432,9/1/23,6.05,95
3144,1,10/6/17,0.01,0
3145,0,,,0
3146,0,,,0
3147,1,10/15/17,0.01,0
3148,2,5/13/18,0.03,0
3149,63,4/5/23,0.88,3
3150,157,8/27/23,2.19,9
3151,22,1/1/23,0.31,2
3152,5,12/2/17,0.07,0
3153,0,,,0
3154,94,2/12/23,1.31,2
3155,0,,,0
3156,14,8/28/23,0.21,4
3157,248,8/27/23,3.7,28
3158,69,1/18/20,0.97,0
3159,28,3/2/20,0.39,0
3160,0,,,0
3161,131,6/26/23,1.82,12
3162,2,10/15/17,0.03,0
3163,0,,,0
3164,280,9/9/23,3.91,39
3165,189,8/9/23,2.63,35
3166,1,4/22/18,0.02,0
3167,47,9/3/23,0.66,9
3168,34,6/1/23,0.5,5
3169,12,5/14/23,0.17,1
3170,0,,,0
3171,11,5/27/18,0.15,0
3172,2,11/29/17,0.03,0
3173,294,9/4/23,4.12,54
3174,54,8/9/23,0.77,11
3175,18,7/12/21,0.27,0
3176,15,12/29/18,0.22,0
3177,108,10/25/22,1.51,1
3178,26,5/31/23,0.37,2
3179,71,8/20/23,1.03,11
3180,1,10/22/17,0.01,0
3181,4,5/15/21,0.06,0
3182,17,6/23/18,0.24,0
3183,67,11/10/19,0.94,0
3184,62,5/13/23,0.87,7
3185,67,7/8/23,0.94,7
3186,31,5/1/18,0.44,0
3187,64,10/2/22,0.9,2
3188,2,1/19/18,0.03,0
3189,0,,,0
3190,11,8/8/22,0.16,0
3191,1,10/7/18,0.02,0
3192,0,,,0
3193,0,,,0
3194,11,8/9/23,0.16,2
3195,12,2/28/20,0.17,0
3196,5,5/15/19,0.07,0
3197,22,9/6/21,0.34,0
3198,5,1/30/18,0.07,0
3199,9,5/30/22,0.16,0
3200,64,7/17/23,0.94,13
3201,64,7/22/23,0.95,14
3202,98,3/28/22,1.39,0
3203,99,6/26/23,1.42,14
3204,3,4/29/18,0.05,0
3205,1,12/18/18,0.02,0
3206,74,5/15/23,1.1,4
3207,25,9/30/18,0.35,0
3208,0,,,0
3209,0,,,0
3210,108,9/4/23,1.57,21
3211,28,3/22/19,0.47,0
3212,81,9/4/23,1.14,25
3213,26,7/15/18,0.37,0
3214,13,10/21/18,0.19,0
3215,158,8/23/23,2.25,33
3216,17,6/11/23,0.26,3
3217,0,,,0
3218,2,1/1/18,0.03,0
3219,0,,,0
3220,24,10/15/18,0.35,0
3221,0,,,0
3222,7,10/1/18,0.1,0
3223,4,6/30/18,0.06,0
3224,8,6/2/18,0.11,0
3225,70,8/12/23,0.99,16
3226,5,7/1/18,0.07,0
3227,0,,,0
3228,0,,,0
3229,71,3/3/20,1.09,0
3230,2,1/14/18,0.03,0
3231,15,4/1/18,0.21,0
3232,260,6/11/23,3.75,40
3233,8,9/18/22,0.12,1
3234,13,4/12/23,0.19,2
3235,7,3/27/23,0.11,1
3236,9,5/11/23,0.14,2
3237,8,5/30/22,0.12,0
3238,1,12/20/17,0.01,0
3239,37,5/23/23,0.55,2
3240,8,3/18/23,0.12,2
3241,76,6/19/23,1.09,10
3242,68,10/24/22,0.99,1
3243,28,3/30/22,0.41,0
3244,0,,,0
3245,81,7/31/23,1.18,8
3246,4,2/27/18,0.06,0
3247,289,9/3/23,4.11,51
3248,9,3/29/23,0.21,1
3249,27,1/5/20,0.39,0
3250,471,9/10/23,6.77,75
3251,0,,,0
3252,3,3/15/18,0.04,0
3253,39,2/4/23,2.08,14
3254,67,12/12/22,1.04,4
3255,157,4/30/23,2.24,11
3256,0,,,0
3257,240,8/18/23,3.43,42
3258,84,5/1/23,1.25,13
3259,10,3/26/19,0.14,0
3260,129,6/18/23,1.92,6
3261,220,7/30/23,3.15,22
3262,91,7/14/23,1.31,9
3263,35,8/20/23,0.54,9
3264,207,8/11/23,3.02,24
3265,228,6/2/23,3.29,38
3266,17,7/26/18,0.25,0
3267,263,8/28/23,3.79,42
3268,105,8/1/23,1.51,7
3269,168,12/11/21,2.42,0
3270,25,7/16/23,0.36,7
3271,17,3/18/22,0.25,0
3272,38,7/18/21,0.56,0
3273,517,8/23/23,7.41,96
3274,105,8/3/23,1.56,16
3275,89,3/19/22,1.28,0
3276,2,8/1/23,0.03,1
3277,5,3/21/19,0.08,0
3278,1,12/29/17,0.01,0
3279,216,8/22/23,3.12,46
3280,0,,,0
3281,32,3/8/20,0.48,0
3282,0,,,0
3283,1,1/1/18,0.01,0
3284,3,12/31/17,0.04,0
3285,2,12/30/17,0.03,0
3286,0,,,0
3287,25,4/1/18,0.36,0
3288,3,6/12/22,0.05,0
3289,0,,,0
3290,0,,,0
3291,1,12/31/17,0.01,0
3292,0,,,0
3293,291,8/26/23,4.2,40
3294,5,3/14/23,0.33,2
3295,1,8/5/18,0.02,0
3296,0,,,0
3297,72,4/23/23,1.05,6
3298,36,8/20/23,0.54,18
3299,271,7/31/23,3.91,60
3300,521,8/21/23,7.57,71
3301,27,4/4/21,0.4,0
3302,0,,,0
3303,32,6/8/23,0.46,7
3304,93,3/28/20,1.36,0
3305,49,7/18/23,1.21,10
3306,136,9/4/23,3.16,31
3307,354,8/20/23,5.13,60
3308,342,9/4/23,4.97,55
3309,17,7/28/19,0.25,0
3310,38,3/26/23,0.58,2
3311,96,9/4/23,1.44,20
3312,125,1/1/20,1.81,0
3313,1,1/4/18,0.01,0
3314,43,9/4/23,1.31,20
3315,3,3/25/18,0.04,0
3316,12,7/6/22,0.18,0
3317,164,7/31/23,2.42,26
3318,152,3/7/20,2.21,0
3319,210,7/29/23,3.14,24
3320,442,8/27/23,6.42,42
3321,73,11/24/19,1.16,0
3322,3,9/25/18,0.04,0
3323,204,8/20/23,2.99,41
3324,3,2/23/18,0.04,0
3325,1,1/8/18,0.01,0
3326,14,11/7/18,0.21,0
3327,6,1/31/22,0.09,0
3328,5,10/24/22,0.21,1
3329,0,,,0
3330,44,3/19/22,0.66,0
3331,0,,,0
3332,144,8/31/23,2.15,17
3333,10,4/1/18,0.14,0
3334,10,10/17/22,0.15,2
3335,3,6/11/18,0.04,0
3336,8,10/16/22,0.13,1
3337,294,3/25/23,4.28,22
3338,8,5/27/19,0.12,0
3339,83,12/20/22,1.21,10
3340,15,8/21/22,0.22,0
3341,23,10/24/22,0.34,2
3342,6,10/25/21,0.1,0
3343,4,6/20/21,0.11,0
3344,1,3/18/18,0.01,0
3345,3,7/2/18,0.05,0
3346,49,7/9/23,0.76,8
3347,1,3/17/18,0.01,0
3348,1,3/17/18,0.01,0
3349,103,7/13/23,1.54,24
3350,69,7/2/23,1.06,24
3351,197,8/31/23,2.94,29
3352,0,,,0
3353,34,5/21/23,0.51,8
3354,5,5/20/18,0.07,0
3355,2,4/16/23,0.19,2
3356,39,9/11/20,0.57,0
3357,55,1/3/20,0.81,0
3358,20,3/16/23,0.3,6
3359,75,4/23/23,1.09,10
3360,2,10/25/21,0.03,0
3361,107,7/31/23,1.58,11
3362,344,3/20/22,5.03,0
3363,282,3/13/23,4.11,1
3364,103,5/7/23,1.51,9
3365,0,,,0
3366,1,2/4/18,0.01,0
3367,38,11/21/22,0.69,2
3368,181,1/31/22,2.71,0
3369,124,8/3/23,1.83,18
3370,131,8/19/23,2.53,16
3371,0,,,0
3372,2,3/19/18,0.03,0
3373,103,9/3/23,1.53,10
3374,0,,,0
3375,1,3/13/18,0.01,0
3376,99,8/16/23,1.46,22
3377,16,5/10/23,0.27,6
3378,12,3/11/19,0.18,0
3379,50,4/8/23,0.85,8
3380,111,5/7/23,1.66,9
3381,129,4/30/23,2,4
3382,58,5/5/23,0.87,5
3383,11,8/4/23,0.17,5
3384,153,8/20/23,2.28,23
3385,51,6/19/23,0.76,13
3386,1,3/15/18,0.01,0
3387,6,8/13/23,0.1,1
3388,0,,,0
3389,197,1/2/23,2.88,5
3390,17,11/3/19,0.25,0
3391,0,,,0
3392,15,3/11/19,0.22,0
3393,5,12/29/18,0.07,0
3394,166,5/22/21,2.44,0
3395,4,3/10/19,0.06,0
3396,1,3/14/18,0.01,0
3397,108,8/13/23,1.6,20
3398,382,8/30/23,5.61,49
3399,1,3/14/18,0.01,0
3400,6,8/1/18,0.09,0
3401,100,10/17/22,1.66,1
3402,0,,,0
3403,246,8/31/23,3.75,44
3404,15,6/30/23,0.22,3
3405,2,8/6/23,0.08,1
3406,49,7/21/19,0.72,0
3407,630,9/10/23,9.34,149
3408,137,7/23/23,2.02,39
3409,18,8/26/23,0.27,4
3410,160,7/9/23,2.36,19
3411,0,,,0
3412,166,9/4/23,2.45,21
3413,2,3/19/18,0.03,0
3414,13,11/16/18,0.19,0
3415,106,3/6/20,1.56,0
3416,3,7/20/18,0.04,0
3417,39,3/9/20,0.58,0
3418,113,5/22/22,1.86,0
3419,2,4/29/18,0.03,0
3420,2,8/26/22,0.03,0
3421,173,8/13/23,2.55,22
3422,121,7/3/23,1.81,12
3423,7,8/14/23,0.11,1
3424,224,8/13/23,3.35,30
3425,249,8/28/23,3.66,42
3426,2,3/18/18,0.03,0
3427,13,2/19/20,0.19,0
3428,11,6/4/22,0.16,0
3429,1,3/22/18,0.02,0
3430,0,,,0
3431,2,6/28/20,0.04,0
3432,105,7/25/23,1.56,8
3433,2,2/15/18,0.03,0
3434,157,8/6/23,2.34,12
3435,4,10/13/19,0.08,0
3436,2,4/29/18,0.03,0
3437,70,9/5/23,1.05,23
3438,219,8/26/23,3.26,17
3439,26,3/20/23,0.41,1
