id,number_of_reviews,last_review,reviews_per_month,number_of_reviews_ltm
566,0,,,0
567,0,,,0
568,0,,,0
569,36,8/26/23,0.33,5
570,10,5/7/23,0.46,5
571,9,8/4/15,0.08,0
572,222,8/31/23,1.92,31
573,17,1/1/16,0.15,0
574,5,9/19/21,0.08,0
575,1,3/18/14,0.01,0
576,0,,,0
577,2,11/7/14,0.02,0
578,0,,,0
579,0,,,0
580,1,5/28/14,0.01,0
581,1,3/21/15,0.01,0
582,0,,,0
583,23,7/31/23,0.25,15
584,26,5/29/17,0.22,0
585,0,,,0
586,0,,,0
587,53,5/7/23,0.63,27
588,8,3/16/17,0.07,0
589,0,,,0
590,0,,,0
591,0,,,0
592,24,7/22/18,0.23,0
593,0,,,0
594,0,,,0
595,52,10/11/20,0.45,0
596,0,,,0
597,1,3/17/14,0.01,0
598,0,,,0
599,137,3/15/23,1.21,3
600,0,,,0
601,731,8/24/23,6.34,73
602,1,3/18/14,0.01,0
603,0,,,0
604,121,5/21/23,1.05,4
605,2,3/25/15,0.02,0
606,0,,,0
607,0,,,0
608,0,,,0
609,35,9/4/23,0.3,14
610,1,3/15/15,0.01,0
611,223,5/28/23,1.93,7
612,0,,,0
613,0,,,0
614,41,4/16/23,0.4,2
615,16,10/21/18,0.15,0
616,1026,8/24/23,8.88,79
617,0,,,0
618,19,11/10/15,0.16,0
619,26,5/31/23,0.23,4
620,0,,,0
621,10,3/12/19,0.11,0
622,10,11/30/19,0.15,0
623,0,,,0
624,0,,,0
625,129,7/27/20,1.13,0
626,25,7/10/23,0.22,2
627,200,9/3/23,1.85,30
628,134,6/10/23,1.19,10
629,183,9/30/18,1.6,0
630,80,5/21/23,0.72,4
631,0,,,0
632,40,5/2/23,0.38,3
633,9,9/4/23,1.19,9
634,122,8/21/23,1.09,9
635,64,7/6/23,0.64,9
636,273,6/26/23,2.58,24
637,83,5/7/23,0.74,15
638,594,8/25/23,5.22,33
639,18,4/2/23,0.48,3
640,6,3/15/16,0.06,0
641,51,4/9/23,0.46,1
642,6,3/19/23,0.06,2
643,0,,,0
644,180,8/13/23,1.6,17
645,99,4/23/23,0.98,4
646,111,8/14/23,1.05,12
647,130,7/24/23,1.26,17
648,119,8/27/23,1.09,21
649,21,10/25/22,0.19,2
